Категория,Подкатегория,"Наименование (марка, ширина, размеры, полка, диаметр)","Хар-ка (размер, диаметр, толщина, стенка, ширина, длина, полка)",Единица измерения,Цена
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 57Х4.5 импорт,57.0,шт,711
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 57Х5 импорт,57.0,шт,935
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 76Х3 импорт,76.0,шт,1162
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 76Х3.5 импорт,76.0,шт,1343
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 76Х4 импорт,76.0,шт,2123
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 76Х4.5 импорт,76.0,шт,2235
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 76Х6 импорт,76.0,шт,1935
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 89Х4 импорт,89.0,шт,1768
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 89Х4.5 импорт,89.0,шт,1795
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т 90° 89Х5 импорт,89.0,шт,1895
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т П90° 108Х5,108.0,шт,4127
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т П90° 114Х5,114.0,шт,4734
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12Х18Н10Т П90° 45Х3,45.0,шт,1260
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,12х18н9 90° 57Х3,57.0,шт,765
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,304 90° 33Х7,33.0,шт,635
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,304 90° 57Х3,57.0,шт,765
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,316L 90° 139Х7,139.0,шт,3447
Нержавейка,ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД,316L 90° 168Х3,168.0,шт,4675
Цветной прокат,ЛАТУННЫЙ ШЕСТИГРАННИК,Л63,8 | 10,т,1018032
Цветной прокат,ЛАТУННЫЙ ШЕСТИГРАННИК,Л63,12 | 14| 17| 19| 22| 24| 27| 30| 32| 36,т,1012952
Цветной прокат,ЛАТУННЫЙ ШЕСТИГРАННИК,ЛС59-1,5,т,955040
Цветной прокат,ЛАТУННЫЙ ШЕСТИГРАННИК,ЛС59-1,6 | 7,т,928624
Цветной прокат,ЛАТУННЫЙ ШЕСТИГРАННИК,ЛС59-1,8 | 9| 10,т,907288
Цветной прокат,ЛАТУННЫЙ ШЕСТИГРАННИК,ЛС59-1,11 | 12| 13| 14| 17| 19| 22| 24| 27| 30| 32| 36| 41| 46| 55| 60,т,798576
Цветной прокат,МЕДНАЯ ШИНА,,15 | 20| 20| 25| 25| 30| 40| 50| 60| 60| 80| 100| 120,т,1098296
Цветной прокат,МЕДНАЯ ЛЕНТА,М1,0.1,т,1286256
Цветной прокат,МЕДНАЯ ЛЕНТА,М1,0.2 | 0.3| 0.4| 0.5,т,1265936
Цветной прокат,АЛЮМИНИЕВАЯ ЛЕНТА,АД1 Н,0|8 | 1,т,404368
Цветной прокат,АЛЮМИНИЕВАЯ ЛЕНТА,АМГ2 М,1|5 | 2,т,417576
Цветной прокат,ДЮРАЛЕВАЯ ТРУБА,Д16Т  80,8,т,1521968
Цветной прокат,ДЮРАЛЕВАЯ ТРУБА,Д16Т  130 РТ-Техприемка,30,т,1537208
Цветной прокат,ДЮРАЛЕВАЯ ТРУБА,Д16Т  280,40 | 45,т,1521968
Цветной прокат,МЕДНЫЙ ЛИСТ,М1,0.4 | 0.5| 0.5,т,1191768
Цветной прокат,МЕДНЫЙ ЛИСТ,М1,0.5,шт,1626
Цветной прокат,МЕДНЫЙ ЛИСТ,М1,0.5,шт,3251
Цветной прокат,МЕДНЫЙ ЛИСТ,М1,0.5,шт,6604
Цветной прокат,МЕДНЫЙ ЛИСТ,М1,0.6 | 0.8| 0.8| 1| 1.2| 1.5| 2| 2| 2.5| 2.5| 3| 4| 4| 5| 6| 7| 7| 8| 10| 10| 12| 12| 14| 15| 16| 20| 25,т,1191768
Цветной прокат,МЕДНЫЙ ЛИСТ,М1,30 | 35| 40| 50| 60| 80,т,1222248
Сортовой прокат,БАЛКИ ДВУТАВРОВЫЕ НИЗКОЛЕГ,14,Б2,т,114899
Сортовой прокат,БАЛКИ ДВУТАВРОВЫЕ НИЗКОЛЕГ,36,М,т,134102
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,30MnB5,6 | 8| 10| 12,т,134915
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,30ХГСА,12 | 14| 16| 25| 40,т,142230
